Timestamp,Your Name:,Company Name:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32) Rate  success of Operate’s investment in this company at 6 months after originally investing (if applicable).,33) Rate the success of Operate’s investment in this company at  1 year after originally investing (if applicable).,34) Rate the success of Operate’s investment in this company at 18 months after originally investing (if applicable).,35) Rate the success of Operate’s investment in this company at 2 years after originally investing (if applicable).,36) Rate the  success of Operate’s investment in this company at 3 years after originally investing (if applicable).,37) Rate the success of Operate’s investment in this company at 4 years after originally investing (if applicable).,38) Rate the success of Operate’s investment in this company at 5 years after originally investing (if applicable).
5/28/21 11:54,Michelle,Ardius,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,10,,,,,,,
6/2/21 21:12,Carey,Ardius ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,9,,,,,,,
5/28/21 11:45,Michelle,BrightQuery ,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4,,,,,,,
5/31/21 18:42,Carey,BrightQuery ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,4,,,,,,,
5/27/21 6:27,Kyle,ChatterWorks,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8,,,,,,,
5/26/21 20:46,Carey,ChatterWorks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,,,,,,,
5/28/21 10:14,Michelle Drucker,ChatterWorks,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,5,,,,,,,
5/27/21 0:41,Carey,Cheese,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,8,,,,,,,
5/28/21 11:40,Michelle,Cheese,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9,,,,,,,
5/28/21 15:55,Michelle,Float Credit,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,3,,,,,,,
6/2/21 21:52,Carey,Float Credit,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,1,,,,,,,
5/28/21 14:38,Michelle,Givsum,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6,,,,,,,
6/2/21 21:22,Carey,Givsum,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,,,,,,,
5/28/21 14:34,Michelle,Grin Gaming,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,,,,,,,
6/2/21 21:17,Carey,Grin Gaming,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,,,,,,,
5/28/21 15:52,Michelle,Mustard,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,,,,,,,
6/2/21 21:50,Carey,Mustard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,,,,,
5/28/21 14:41,Michelle,OpenX,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,5,,,,,,,
6/2/21 21:27,Carey,OpenX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,1,,,,,,,
5/28/21 15:33,Michelle,Sailplan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10,,,,,,,
6/2/21 21:46,Carey,Sailplan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8,,,,,,,
5/27/21 0:35,Carey,Spoonful,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,,,,,
5/28/21 10:58,Michelle,Spoonful,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6,,,,,,,
5/27/21 6:30,Kyle,Spoonful,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6,,,,,,,
5/28/21 16:15,MIchelle,Trubify,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,6,,,,,,,
5/28/21 16:05,Michelle,Vocalytics,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,4,,,,,,,
6/2/21 22:13,Carey,Vocalytics,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,1,,,,,,,
5/28/21 11:50,Michelle,Volonic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,8,,,,,,,
6/2/21 21:07,Carey,Volonic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,6,,,,,,,
6/7/21 11:13,Michelle,Ramped,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,7,,,,,,,
6/7/21 13:50,Michelle,Kadama,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,4,,,,,,,
